Set Category,Set Name,Card ID,Card Name,Clan,Deck,Card Type
Core Set,Core Set,2,Shizuka Toshi,Crane,—,Stronghold
Core Set,Core Set,4,Yōjin no Shiro,Lion,—,Stronghold
Core Set,Core Set,8,Defend the Wall,Crab,—,Province
Core Set,Core Set,16,Elemental Fury,Neutral,—,Province
Core Set,Core Set,14,Endless Plains,Unicorn,—,Province
Core Set,Core Set,12,Kuroi Mori,Phoenix,—,Province
Core Set,Core Set,24,Shameful Display,Neutral,—,Province
Core Set,Core Set,189,Blackmail,Scorpion,Conflict,Event
Core Set,Core Set,134,Jade Tetsubō,Crab,Conflict,Attachment
Core Set,Core Set,112,Border Rider,Unicorn,Dynasty,Character
Core Set,Core Set,96,Bayushi Manipulator,Scorpion,Dynasty,Character
Core Set,Core Set,46,Daidoji Nerishma,Crane,Dynasty,Character
Core Set,Core Set,187,I Can Swim,Scorpion,Conflict,Event
Core Set,Core Set,38,Borderlands Fortifications,Crab,Dynasty,Holding
Core Set,Core Set,198,Way of the Unicorn,Unicorn,Conflict,Event
Core Set,Core Set,57,Mirumoto Prodigy,Dragon,Dynasty,Character
Core Set,Core Set,90,Isawa Masahiro,Phoenix,Dynasty,Character
Core Set,Core Set,106,Yogo Hiroue,Scorpion,Dynasty,Character
Core Set,Core Set,56,Agasha Swordsmith,Dragon,Dynasty,Character
Core Set,Core Set,59,Seeker of Enlightenment,Dragon,Dynasty,Character
Core Set,Core Set,192,Favored Mount,Unicorn,Conflict,Attachment
Core Set,Core Set,45,Savvy Politician,Crane,Dynasty,Character
Core Set,Core Set,69,Matsu Berserker,Lion,Dynasty,Character
Core Set,Core Set,25,Eager Scout,Crab,Dynasty,Character
Core Set,Core Set,195,Breakthrough,Unicorn,Conflict,Event
Core Set,Core Set,160,Vengeful Oathkeeper,Lion,Conflict,Character
Core Set,Core Set,167,Way of the Lion,Lion,Conflict,Event
Core Set,Core Set,146,Way of the Crane,Crane,Conflict,Event
Core Set,Core Set,185,Way of the Scorpion,Scorpion,Conflict,Event
Core Set,Core Set,176,Way of the Phoenix,Phoenix,Conflict,Event
Core Set,Core Set,154,Way of the Dragon,Dragon,Conflict,Attachment
Core Set,Core Set,125,Miya Mystic,Neutral,Dynasty,Character
Core Set,Core Set,148,Noble Sacrifice,Crane,Conflict,Event
Core Set,Core Set,136,Rebuild,Crab,Conflict,Event
Core Set,Core Set,42,Brash Samurai,Crane,Dynasty,Character
Core Set,Core Set,203,Assassination,Neutral,Conflict,Event
Core Set,Core Set,55,Togashi Initiate,Dragon,Dynasty,Character
Core Set,Core Set,147,Admit Defeat,Crane,Conflict,Event
Core Set,Core Set,211,Fallen in Battle,Neutral,Conflict,Event
Core Set,Core Set,132,Reprieve,Crab,Conflict,Attachment
Core Set,Core Set,122,Otomo Courtier,Neutral,Dynasty,Character
Core Set,Core Set,75,Lion's Pride Brawler,Lion,Dynasty,Character
Core Set,Core Set,114,Shinjo Outrider,Unicorn,Dynasty,Character
Core Set,Core Set,83,Solemn Scholar,Phoenix,Dynasty,Character
Core Set,Core Set,209,Spies at Court,Neutral,Conflict,Event
Core Set,Core Set,101,Young Rumormonger,Scorpion,Dynasty,Character
Core Set,Core Set,111,Aggressive Moto,Unicorn,Dynasty,Character
Core Set,Core Set,204,Banzai!,Neutral,Conflict,Event
Core Set,Core Set,207,For Shame!,Neutral,Conflict,Event
Core Set,Core Set,200,Fine Katana,Neutral,Conflict,Attachment
Core Set,Core Set,202,Cloud the Mind,Neutral,Conflict,Attachment
Core Set,Core Set,171,Seeker of Knowledge,Phoenix,Conflict,Character
Core Set,Core Set,82,Shiba Peacemaker,Phoenix,Dynasty,Character
Core Set,Core Set,144,The Perfect Gift,Crane,Conflict,Event
Core Set,Core Set,44,Doji Gift Giver,Crane,Dynasty,Character
Core Set,Core Set,53,Artisan Academy,Crane,Dynasty,Holding
Core Set,Core Set,143,Height of Fashion,Crane,Conflict,Attachment
Core Set,Core Set,9,The Art of Peace,Crane,—,Province
Core Set,Core Set,47,Doji Challenger,Crane,Dynasty,Character
Core Set,Core Set,52,Doji Hotaru,Crane,Dynasty,Character
Core Set,Core Set,139,Steward of Law,Crane,Conflict,Character
Core Set,Core Set,145,Voice of Honor,Crane,Conflict,Event
Core Set,Core Set,141,Above Question,Crane,Conflict,Attachment
Core Set,Core Set,142,Duelist Training,Crane,Conflict,Attachment
Core Set,Core Set,71,Akodo Gunsō,Lion,Dynasty,Character
Core Set,Core Set,178,Know the World,Phoenix,Conflict,Event
Core Set,Core Set,77,Honored General,Lion,Dynasty,Character
Core Set,Core Set,163,Honored Blade,Lion,Conflict,Attachment
Core Set,Core Set,72,Deathseeker,Lion,Dynasty,Character
Core Set,Core Set,21,Night Raid,Neutral,—,Province
Core Set,Core Set,89,Shiba Yōjimbō,Phoenix,Dynasty,Character
Core Set,Core Set,180,Adept of Shadows,Scorpion,Conflict,Character
Core Set,Core Set,208,Good Omen,Neutral,Conflict,Event
Core Set,Core Set,93,Shiba Tsukune,Phoenix,Dynasty,Character
Core Set,Core Set,118,Utaku Yumino,Unicorn,Dynasty,Character
Core Set,Core Set,67,Obstinate Recruit,Lion,Dynasty,Character
Core Set,Core Set,11,The Art of War,Lion,—,Province
Core Set,Core Set,74,Kitsu Spiritcaller,Lion,Dynasty,Character
Core Set,Core Set,76,Matsu Beiona,Lion,Dynasty,Character
Core Set,Core Set,78,Ikoma Eiji,Lion,Dynasty,Character
Core Set,Core Set,169,Strength in Numbers,Lion,Conflict,Event
Core Set,Core Set,166,Stand Your Ground,Lion,Conflict,Event
Core Set,Core Set,168,For Greater Glory,Lion,Conflict,Event
Core Set,Core Set,162,Guidance of the Ancestors,Lion,Conflict,Attachment
Core Set,Core Set,164,Sashimono,Lion,Conflict,Attachment
Core Set,Core Set,68,Ikoma Prodigy,Lion,Dynasty,Character
Core Set,Core Set,161,Master of the Spear,Lion,Conflict,Character
Core Set,Core Set,73,Venerable Historian,Lion,Dynasty,Character
Core Set,Core Set,158,Indomitable Will,Dragon,Conflict,Event
Core Set,Core Set,159,Mirumoto's Fury,Dragon,Conflict,Event
Core Set,Core Set,129,Imperial Storehouse,Neutral,Dynasty,Holding
Core Set,Core Set,123,Seppun Guardsman,Neutral,Dynasty,Character
Core Set,Core Set,153,Kitsuki's Method,Dragon,Conflict,Attachment
Core Set,Core Set,155,Let Go,Dragon,Conflict,Event
Core Set,Core Set,156,Mantra of Fire,Dragon,Conflict,Event
Core Set,Core Set,10,Restoration of Balance,Dragon,—,Province
Core Set,Core Set,3,Mountain's Anvil Castle,Dragon,—,Stronghold
Core Set,Core Set,60,Enlightened Warrior,Dragon,Dynasty,Character
Core Set,Core Set,64,Niten Master,Dragon,Dynasty,Character
Core Set,Core Set,65,Togashi Yokuni,Dragon,Dynasty,Character
Core Set,Core Set,149,Tattooed Wanderer,Dragon,Conflict,Character
Core Set,Core Set,150,Togashi Kazue,Dragon,Conflict,Character
Core Set,Core Set,61,Kitsuki Investigator,Dragon,Dynasty,Character
Core Set,Core Set,201,Ornate Fan,Neutral,Conflict,Attachment
Core Set,Core Set,43,Cautious Scout,Crane,Dynasty,Character
Core Set,Core Set,131,Stoic Gunsō,Crab,Conflict,Character
Core Set,Core Set,133,Watch Commander,Crab,Conflict,Attachment
Core Set,Core Set,36,Kaiu Shuichi,Crab,Dynasty,Character
Core Set,Core Set,17,Entrenched Position,Neutral,—,Province
Core Set,Core Set,23,Rally to the Cause,Neutral,—,Province
Core Set,Core Set,20,Meditations on the Tao,Neutral,—,Province
Core Set,Core Set,130,Hiruma Ambusher,Crab,Conflict,Character
Core Set,Core Set,34,Hida Tomonatsu,Crab,Dynasty,Character
Core Set,Core Set,35,Steadfast Witch Hunter,Crab,Dynasty,Character
Core Set,Core Set,37,Hida Kisada,Crab,Dynasty,Character
Core Set,Core Set,1,Shiro Nishiyama,Crab,—,Stronghold
Core Set,Core Set,138,The Mountain Does Not Fall,Crab,Conflict,Event
Core Set,Core Set,39,Funeral Pyre,Crab,Dynasty,Holding
Core Set,Core Set,26,Hida Guardian,Crab,Dynasty,Character
Core Set,Core Set,135,Levy,Crab,Conflict,Event
Core Set,Core Set,27,Kaiu Envoy,Crab,Dynasty,Character
Core Set,Core Set,210,Charge!,Neutral,Conflict,Event
Core Set,Core Set,213,Rout,Neutral,Conflict,Event
Core Set,Core Set,206,Court Games,Neutral,Conflict,Event
Core Set,Core Set,179,Display of Power,Phoenix,Conflict,Event
Core Set,Core Set,170,Ishiken Initiate,Phoenix,Conflict,Character
Core Set,Core Set,85,Asako Diplomat,Phoenix,Dynasty,Character
Core Set,Core Set,84,Adept of the Waves,Phoenix,Dynasty,Character
Core Set,Core Set,88,Serene Warrior,Phoenix,Dynasty,Character
Core Set,Core Set,5,Isawa Mori Seidō,Phoenix,—,Stronghold
Core Set,Core Set,87,Radiant Orator,Phoenix,Dynasty,Character
Core Set,Core Set,81,Naive Student,Phoenix,Dynasty,Character
Core Set,Core Set,172,Magnificent Kimono,Phoenix,Conflict,Attachment
Core Set,Core Set,117,Warrior Poet,Unicorn,Dynasty,Character
Core Set,Core Set,177,Against the Waves,Phoenix,Conflict,Event
Core Set,Core Set,7,Golden Plains Outpost,Unicorn,—,Stronghold
Core Set,Core Set,126,Seeker Initiate,Neutral,Dynasty,Character
Core Set,Core Set,124,Keeper Initiate,Neutral,Dynasty,Character
Core Set,Core Set,110,Utaku Infantry,Unicorn,Dynasty,Character
Core Set,Core Set,102,Favored Niece,Scorpion,Dynasty,Character
Core Set,Core Set,212,Outwit,Neutral,Conflict,Event
Core Set,Core Set,214B,Seeker of Air,Dragon,—,Role
Core Set,Core Set,214A,Keeper of Air,Crab,—,Role
Core Set,Core Set,215A,Keeper of Earth,Scorpion,—,Role
Core Set,Core Set,218A,Keeper of Void,Neutral,—,Role
Core Set,Core Set,217A,Keeper of Water,Unicorn,—,Role
Core Set,Core Set,216B,Seeker of Fire,Neutral,—,Role
Core Set,Core Set,218B,Seeker of Void,Phoenix,—,Role
Core Set,Core Set,217B,Seeker of Water,Neutral,—,Role
Core Set,Core Set,128,Favorable Ground,Neutral,Dynasty,Holding
Core Set,Core Set,191,Ide Messenger,Unicorn,Conflict,Character
Core Set,Core Set,121,Shinjo Altansarnai,Unicorn,Dynasty,Character
Core Set,Core Set,31,Borderlands Defender,Crab,Dynasty,Character
Core Set,Core Set,29,Shrewd Yasuki,Crab,Dynasty,Character
Core Set,Core Set,108,City of Lies,Scorpion,Dynasty,Holding
Core Set,Core Set,80,Staging Ground,Lion,Dynasty,Holding
Core Set,Core Set,54,Doomed Shugenja,Dragon,Dynasty,Character
Core Set,Core Set,107,Bayushi Shoju,Scorpion,Dynasty,Character
Core Set,Core Set,41,Doji Whisperer,Crane,Dynasty,Character
Core Set,Core Set,70,Steadfast Samurai,Lion,Dynasty,Character
Core Set,Core Set,137,Way of the Crab,Crab,Conflict,Event
Core Set,Core Set,15,Ancestral Lands,Neutral,—,Province
Core Set,Core Set,152,Daimyō's Favor,Dragon,Conflict,Attachment
Core Set,Core Set,174,Pacifism,Phoenix,Conflict,Attachment
Core Set,Core Set,127,Wandering Rōnin,Neutral,Dynasty,Character
Core Set,Core Set,151,Ancestral Daishō,Dragon,Conflict,Attachment
Core Set,Core Set,40,Asahina Artisan,Crane,Dynasty,Character
Core Set,Core Set,49,Kakita Kaezin,Crane,Dynasty,Character
Core Set,Core Set,50,Asahina Storyteller,Crane,Dynasty,Character
Core Set,Core Set,51,Guest of Honor,Crane,Dynasty,Character
Core Set,Core Set,48,Kakita Asami,Crane,Dynasty,Character
Core Set,Core Set,165,Ready for Battle,Lion,Conflict,Event
Core Set,Core Set,79,Akodo Toturi (Lion Clan),Lion,Dynasty,Character
Core Set,Core Set,22,Pilgrimage,Neutral,—,Province
Core Set,Core Set,58,Niten Adept,Dragon,Dynasty,Character
Core Set,Core Set,66,Secluded Temple,Dragon,Dynasty,Holding
Core Set,Core Set,63,Ascetic Visionary,Dragon,Dynasty,Character
Core Set,Core Set,62,Mirumoto Raitsugu,Dragon,Dynasty,Character
Core Set,Core Set,140,Political Rival,Crane,Conflict,Character
Core Set,Core Set,19,Manicured Garden,Neutral,—,Province
Core Set,Core Set,33,Vengeful Berserker,Crab,Dynasty,Character
Core Set,Core Set,91,Fearsome Mystic,Phoenix,Dynasty,Character
Core Set,Core Set,92,Isawa Atsuko,Phoenix,Dynasty,Character
Core Set,Core Set,94,Forgotten Library,Phoenix,Dynasty,Holding
Core Set,Core Set,6,City of the Open Hand,Scorpion,—,Stronghold
Core Set,Core Set,216A,Keeper of Fire,Neutral,—,Role
Core Set,Core Set,215B,Seeker of Earth,Lion,—,Role
Core Set,Core Set,205,Contingency Plan,Neutral,Conflict,Event
Core Set,Core Set,157,Tranquility,Dragon,Conflict,Event
Core Set,Core Set,32,Intimidating Hida,Crab,Dynasty,Character
Core Set,Core Set,28,Hiruma Yōjimbō,Crab,Dynasty,Character
Core Set,Core Set,173,Grasp of Earth,Phoenix,Conflict,Attachment
Core Set,Core Set,175,Supernatural Storm,Phoenix,Conflict,Event
Core Set,Core Set,103,Shosuro Actress,Scorpion,Dynasty,Character
Core Set,Core Set,193,Spyglass,Unicorn,Conflict,Attachment
Core Set,Core Set,116,Ide Trader,Unicorn,Dynasty,Character
Core Set,Core Set,119,Moto Horde,Unicorn,Dynasty,Character
Core Set,Core Set,109,Moto Youth,Unicorn,Dynasty,Character
